code,description
X834,Intentional self-harm by other specified means: Street and highway
X835,Intentional self-harm by other specified means: Trade and service area
X836,Intentional self-harm by other specified means: Industrial and construction area
X837,Intentional self-harm by other specified means: Farm
X838,Intentional self-harm by other specified means: Other specified places
X839,Intentional self-harm by other specified means: Unspecified place
X840,Intentional self-harm by unspecified means: Home
X841,Intentional self-harm by unspecified means: Residential institution
X842,"Intentional self-harm by unspecified means: School, other institution and public administrative area"
X843,Intentional self-harm by unspecified means: Sports and athletics area
X844,Intentional self-harm by unspecified means: Street and highway
X845,Intentional self-harm by unspecified means: Trade and service area
X846,Intentional self-harm by unspecified means: Industrial and construction area
X847,Intentional self-harm by unspecified means: Farm
X848,Intentional self-harm by unspecified means: Other specified places
X849,Intentional self-harm by unspecified means: Unspecified place
X850,"Assault by drugs, medicaments and biological substances: Home"
X851,"Assault by drugs, medicaments and biological substances: Residential institution"
X852,"Assault by drugs, medicaments and biological substances: School, other institution and public administrative area"
X853,"Assault by drugs, medicaments and biological substances: Sports and athletics area"
X854,"Assault by drugs, medicaments and biological substances: Street and highway"
X855,"Assault by drugs, medicaments and biological substances: Trade and service area"
X856,"Assault by drugs, medicaments and biological substances: Industrial and construction area"
X857,"Assault by drugs, medicaments and biological substances: Farm"
X858,"Assault by drugs, medicaments and biological substances: Other specified places"
X859,"Assault by drugs, medicaments and biological substances: Unspecified place"
X860,Assault by corrosive substance: Home
X861,Assault by corrosive substance: Residential institution
X862,"Assault by corrosive substance: School, other institution and public administrative area"
X863,Assault by corrosive substance: Sports and athletics area
X864,Assault by corrosive substance: Street and highway
X865,Assault by corrosive substance: Trade and service area
X866,Assault by corrosive substance: Industrial and construction area
X867,Assault by corrosive substance: Farm
X868,Assault by corrosive substance: Other specified places
X869,Assault by corrosive substance: Unspecified place
X870,Assault by pesticides: Home
X871,Assault by pesticides: Residential institution
X872,"Assault by pesticides: School, other institution and public administrative area"
X873,Assault by pesticides: Sports and athletics area
X874,Assault by pesticides: Street and highway
X875,Assault by pesticides: Trade and service area
X876,Assault by pesticides: Industrial and construction area
X877,Assault by pesticides: Farm
X878,Assault by pesticides: Other specified places
X879,Assault by pesticides: Unspecified place
X880,Assault by gases and vapours: Home
X881,Assault by gases and vapours: Residential institution
X882,"Assault by gases and vapours: School, other institution and public administrative area"
X883,Assault by gases and vapours: Sports and athletics area
X884,Assault by gases and vapours: Street and highway
X885,Assault by gases and vapours: Trade and service area
X886,Assault by gases and vapours: Industrial and construction area
X887,Assault by gases and vapours: Farm
X888,Assault by gases and vapours: Other specified places
X889,Assault by gases and vapours: Unspecified place
X890,Assault by other specified chemicals and noxious substances: Home
X891,Assault by other specified chemicals and noxious substances: Residential institution
X892,"Assault by other specified chemicals and noxious substances: School, other institution and public administrative area"
X893,Assault by other specified chemicals and noxious substances: Sports and athletics area
X894,Assault by other specified chemicals and noxious substances: Street and highway
X895,Assault by other specified chemicals and noxious substances: Trade and service area
X896,Assault by other specified chemicals and noxious substances: Industrial and construction area
X897,Assault by other specified chemicals and noxious substances: Farm
X898,Assault by other specified chemicals and noxious substances: Other specified places
X899,Assault by other specified chemicals and noxious substances: Unspecified place
X900,Assault by unspecified chemical or noxious substance: Home
X901,Assault by unspecified chemical or noxious substance: Residential institution
X902,"Assault by unspecified chemical or noxious substance: School, other institution and public administrative area"
X903,Assault by unspecified chemical or noxious substance: Sports and athletics area
X904,Assault by unspecified chemical or noxious substance: Street and highway
X905,Assault by unspecified chemical or noxious substance: Trade and service area
X906,Assault by unspecified chemical or noxious substance: Industrial and construction area
X907,Assault by unspecified chemical or noxious substance: Farm
X908,Assault by unspecified chemical or noxious substance: Other specified places
X909,Assault by unspecified chemical or noxious substance: Unspecified place
X910,"Assault by hanging, strangulation and suffocation: Home"
X911,"Assault by hanging, strangulation and suffocation: Residential institution"
X912,"Assault by hanging, strangulation and suffocation: School, other institution and public administrative area"
X913,"Assault by hanging, strangulation and suffocation: Sports and athletics area"
X914,"Assault by hanging, strangulation and suffocation: Street and highway"
X915,"Assault by hanging, strangulation and suffocation: Trade and service area"
X916,"Assault by hanging, strangulation and suffocation: Industrial and construction area"
X917,"Assault by hanging, strangulation and suffocation: Farm"
X918,"Assault by hanging, strangulation and suffocation: Other specified places"
X919,"Assault by hanging, strangulation and suffocation: Unspecified place"
X920,Assault by drowning and submersion: Home
X921,Assault by drowning and submersion: Residential institution
X922,"Assault by drowning and submersion: School, other institution and public administrative area"
X923,Assault by drowning and submersion: Sports and athletics area
X924,Assault by drowning and submersion: Street and highway
X925,Assault by drowning and submersion: Trade and service area
X926,Assault by drowning and submersion: Industrial and construction area
X927,Assault by drowning and submersion: Farm
X928,Assault by drowning and submersion: Other specified places
X929,Assault by drowning and submersion: Unspecified place
X930,Assault by handgun discharge: Home
X931,Assault by handgun discharge: Residential institution
X932,"Assault by handgun discharge: School, other institution and public administrative area"
X933,Assault by handgun discharge: Sports and athletics area
X934,Assault by handgun discharge: Street and highway
X935,Assault by handgun discharge: Trade and service area
X936,Assault by handgun discharge: Industrial and construction area
X937,Assault by handgun discharge: Farm
X938,Assault by handgun discharge: Other specified places
X939,Assault by handgun discharge: Unspecified place
X940,"Assault by rifle, shotgun and larger firearm discharge: Home"
X941,"Assault by rifle, shotgun and larger firearm discharge: Residential institution"
X942,"Assault by rifle, shotgun and larger firearm discharge: School, other institution and public administrative area"
X943,"Assault by rifle, shotgun and larger firearm discharge: Sports and athletics area"
X944,"Assault by rifle, shotgun and larger firearm discharge: Street and highway"
X945,"Assault by rifle, shotgun and larger firearm discharge: Trade and service area"
X946,"Assault by rifle, shotgun and larger firearm discharge: Industrial and construction area"
X947,"Assault by rifle, shotgun and larger firearm discharge: Farm"
X948,"Assault by rifle, shotgun and larger firearm discharge: Other specified places"
X949,"Assault by rifle, shotgun and larger firearm discharge: Unspecified place"
X950,Assault by other and unspecified firearm discharge: Home
X951,Assault by other and unspecified firearm discharge: Residential institution
X952,"Assault by other and unspecified firearm discharge: School, other institution and public administrative area"
X953,Assault by other and unspecified firearm discharge: Sports and athletics area
X954,Assault by other and unspecified firearm discharge: Street and highway
X955,Assault by other and unspecified firearm discharge: Trade and service area
X956,Assault by other and unspecified firearm discharge: Industrial and construction area
X957,Assault by other and unspecified firearm discharge: Farm
X958,Assault by other and unspecified firearm discharge: Other specified places
X959,Assault by other and unspecified firearm discharge: Unspecified place
X960,Assault by explosive material: Home
X961,Assault by explosive material: Residential institution
X962,"Assault by explosive material: School, other institution and public administrative area"
X963,Assault by explosive material: Sports and athletics area
X964,Assault by explosive material: Street and highway
X965,Assault by explosive material: Trade and service area
X966,Assault by explosive material: Industrial and construction area
X967,Assault by explosive material: Farm
X968,Assault by explosive material: Other specified places
X969,Assault by explosive material: Unspecified place
X970,"Assault by smoke, fire and flames: Home"
X971,"Assault by smoke, fire and flames: Residential institution"
X972,"Assault by smoke, fire and flames: School, other institution and public administrative area"
X973,"Assault by smoke, fire and flames: Sports and athletics area"
X974,"Assault by smoke, fire and flames: Street and highway"
X975,"Assault by smoke, fire and flames: Trade and service area"
X976,"Assault by smoke, fire and flames: Industrial and construction area"
X977,"Assault by smoke, fire and flames: Farm"
X978,"Assault by smoke, fire and flames: Other specified places"
X979,"Assault by smoke, fire and flames: Unspecified place"
X980,"Assault by steam, hot vapours and hot objects: Home"
X981,"Assault by steam, hot vapours and hot objects: Residential institution"
X982,"Assault by steam, hot vapours and hot objects: School, other institution and public administrative area"
X983,"Assault by steam, hot vapours and hot objects: Sports and athletics area"
X984,"Assault by steam, hot vapours and hot objects: Street and highway"
X985,"Assault by steam, hot vapours and hot objects: Trade and service area"
X986,"Assault by steam, hot vapours and hot objects: Industrial and construction area"
X987,"Assault by steam, hot vapours and hot objects: Farm"
X988,"Assault by steam, hot vapours and hot objects: Other specified places"
X989,"Assault by steam, hot vapours and hot objects: Unspecified place"
X990,Assault by sharp object: Home
X991,Assault by sharp object: Residential institution
X992,"Assault by sharp object: School, other institution and public administrative area"
X993,Assault by sharp object: Sports and athletics area
X994,Assault by sharp object: Street and highway
X995,Assault by sharp object: Trade and service area
X996,Assault by sharp object: Industrial and construction area
X997,Assault by sharp object: Farm
X998,Assault by sharp object: Other specified places
X999,Assault by sharp object: Unspecified place
Y000,Assault by blunt object: Home
Y001,Assault by blunt object: Residential institution
Y002,"Assault by blunt object: School, other institution and public administrative area"
Y003,Assault by blunt object: Sports and athletics area
Y004,Assault by blunt object: Street and highway
Y005,Assault by blunt object: Trade and service area
Y006,Assault by blunt object: Industrial and construction area
Y007,Assault by blunt object: Farm
Y008,Assault by blunt object: Other specified places
Y009,Assault by blunt object: Unspecified place
Y010,Assault by pushing from high place: Home
Y011,Assault by pushing from high place: Residential institution
Y012,"Assault by pushing from high place: School, other institution and public administrative area"
Y013,Assault by pushing from high place: Sports and athletics area
Y014,Assault by pushing from high place: Street and highway
Y015,Assault by pushing from high place: Trade and service area
Y016,Assault by pushing from high place: Industrial and construction area
Y017,Assault by pushing from high place: Farm
Y018,Assault by pushing from high place: Other specified places
Y019,Assault by pushing from high place: Unspecified place
Y020,Assault by pushing or placing victim before moving object: Home
Y021,Assault by pushing or placing victim before moving object: Residential institution
Y022,"Assault by pushing or placing victim before moving object: School, other institution and public administrative area"
Y023,Assault by pushing or placing victim before moving object: Sports and athletics area
Y024,Assault by pushing or placing victim before moving object: Street and highway
Y025,Assault by pushing or placing victim before moving object: Trade and service area
Y026,Assault by pushing or placing victim before moving object: Industrial and construction area
Y027,Assault by pushing or placing victim before moving object: Farm
Y028,Assault by pushing or placing victim before moving object: Other specified places
Y029,Assault by pushing or placing victim before moving object: Unspecified place
Y030,Assault by crashing of motor vehicle: Home
Y031,Assault by crashing of motor vehicle: Residential institution
Y032,"Assault by crashing of motor vehicle: School, other institution and public administrative area"
Y033,Assault by crashing of motor vehicle: Sports and athletics area
Y034,Assault by crashing of motor vehicle: Street and highway
Y035,Assault by crashing of motor vehicle: Trade and service area
Y036,Assault by crashing of motor vehicle: Industrial and construction area
Y037,Assault by crashing of motor vehicle: Farm
Y038,Assault by crashing of motor vehicle: Other specified places
Y039,Assault by crashing of motor vehicle: Unspecified place
Y040,Assault by bodily force: Home
Y041,Assault by bodily force: Residential institution
Y042,"Assault by bodily force: School, other institution and public administrative area"
Y043,Assault by bodily force: Sports and athletics area
Y044,Assault by bodily force: Street and highway
Y045,Assault by bodily force: Trade and service area
Y046,Assault by bodily force: Industrial and construction area
Y047,Assault by bodily force: Farm
Y048,Assault by bodily force: Other specified places
Y049,Assault by bodily force: Unspecified place
Y050,Sexual assault by bodily force: Home
Y051,Sexual assault by bodily force: Residential institution
Y052,"Sexual assault by bodily force: School, other institution and public administrative area"
Y053,Sexual assault by bodily force: Sports and athletics area
Y054,Sexual assault by bodily force: Street and highway
Y055,Sexual assault by bodily force: Trade and service area
Y056,Sexual assault by bodily force: Industrial and construction area
Y057,Sexual assault by bodily force: Farm
Y058,Sexual assault by bodily force: Other specified places
Y059,Sexual assault by bodily force: Unspecified place
Y060,Neglect and abandonment: By spouse or partner
Y061,Neglect and abandonment: By parent
Y062,Neglect and abandonment: By acquaintance or friend
Y068,Neglect and abandonment: By other specified persons
Y069,Neglect and abandonment: By unspecified person
Y070,Other maltreatment: By spouse or partner
Y071,Other maltreatment: By parent
Y072,Other maltreatment: By acquaintance or friend
Y073,Other maltreatment: By official authorities
Y078,Other maltreatment: By other specified persons
Y079,Other maltreatment: By unspecified person
Y080,Assault by other specified means: Home
Y081,Assault by other specified means: Residential institution
Y082,"Assault by other specified means: School, other institution and public administrative area"
Y083,Assault by other specified means: Sports and athletics area
Y084,Assault by other specified means: Street and highway
Y085,Assault by other specified means: Trade and service area
Y086,Assault by other specified means: Industrial and construction area
Y087,Assault by other specified means: Farm
Y088,Assault by other specified means: Other specified places
Y089,Assault by other specified means: Unspecified place
Y090,Assault by unspecified means: Home
Y091,Assault by unspecified means: Residential institution
Y092,"Assault by unspecified means: School, other institution and public administrative area"
Y093,Assault by unspecified means: Sports and athletics area
Y094,Assault by unspecified means: Street and highway
Y095,Assault by unspecified means: Trade and service area
Y096,Assault by unspecified means: Industrial and construction area
Y097,Assault by unspecified means: Farm
Y098,Assault by unspecified means: Other specified places
Y099,Assault by unspecified means: Unspecified place
Y100,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent: Home"
Y101,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent: Residential institution"
Y102,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent: School, other institution and public administrative area"
Y103,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent: Sports and athletics area"
Y104,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent: Street and highway"
Y105,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent: Trade and service area"
Y106,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent: Industrial and construction area"
Y107,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent: Farm"
Y108,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent: Other specified places"
Y109,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent: Unspecified place"
Y110,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent: Home"
Y111,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent: Residential institution"
Y112,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, NEC, undetermined intent: School, other institution and public administrative area"
Y113,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent: Sports and athletics area"
Y114,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent: Street and highway"
Y115,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent: Trade and service area"
Y116,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent: Industrial and construction area"
Y117,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent: Farm"
Y118,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent: Other specified places"
Y119,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent: Unspecified place"
Y120,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent: Home"
Y121,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent: Residential institution"
Y122,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent: School, other institution and public administrative area"
Y123,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent: Sports and athletics area"
Y124,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent: Street and highway"
Y125,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent: Trade and service area"
Y126,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent: Industrial and construction area"
Y127,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent: Farm"
Y128,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent: Other specified places"
Y129,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent: Unspecified place"
Y130,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent: Home"
Y131,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent: Residential institution"
Y132,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent: School, other institution and public administrative area"
Y133,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent: Sports and athletics area"
Y134,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent: Street and highway"
Y135,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent: Trade and service area"
Y136,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent: Industrial and construction area"
Y137,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent: Farm"
Y138,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent: Other specified places"
Y139,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent: Unspecified place"
Y140,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent: Home"
Y141,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent: Residential institution"
Y142,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent: School, other institution and public administrative area"
Y143,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent: Sports and athletics area"
Y144,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent: Street and highway"
Y145,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent: Trade and service area"
Y146,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent: Industrial and construction area"
Y147,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent: Farm"
Y148,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent: Other specified places"
Y149,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent: Unspecified place"
Y150,"Poisoning by and exposure to alcohol, undetermined intent: Home"
Y151,"Poisoning by and exposure to alcohol, undetermined intent: Residential institution"
Y152,"Poisoning by and exposure to alcohol, undetermined intent: School, other institution and public administrative area"
Y153,"Poisoning by and exposure to alcohol, undetermined intent: Sports and athletics area"
Y154,"Poisoning by and exposure to alcohol, undetermined intent: Street and highway"
Y155,"Poisoning by and exposure to alcohol, undetermined intent: Trade and service area"
Y156,"Poisoning by and exposure to alcohol, undetermined intent: Industrial and construction area"
Y157,"Poisoning by and exposure to alcohol, undetermined intent: Farm"
Y158,"Poisoning by and exposure to alcohol, undetermined intent: Other specified places"
Y159,"Poisoning by and exposure to alcohol, undetermined intent: Unspecified place"
Y160,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent: Home"
Y161,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent: Residential institution"
Y162,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent: School, other institution and public administrative area"
Y163,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent: Sports and athletics area"
Y164,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent: Street and highway"
Y165,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent: Trade and service area"
Y166,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent: Industrial and construction area"
Y167,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent: Farm"
Y168,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent: Other specified places"
Y169,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent: Unspecified place"
Y170,"Poisoning by and exposure to other gases and vapours, undetermined intent: Home"
Y171,"Poisoning by and exposure to other gases and vapours, undetermined intent: Residential institution"
Y172,"Poisoning by and exposure to other gases and vapours, undetermined intent: School, other institution and public administrative area"
Y173,"Poisoning by and exposure to other gases and vapours, undetermined intent: Sports and athletics area"
Y174,"Poisoning by and exposure to other gases and vapours, undetermined intent: Street and highway"
Y175,"Poisoning by and exposure to other gases and vapours, undetermined intent: Trade and service area"
Y176,"Poisoning by and exposure to other gases and vapours, undetermined intent: Industrial and construction area"
Y177,"Poisoning by and exposure to other gases and vapours, undetermined intent: Farm"
Y178,"Poisoning by and exposure to other gases and vapours, undetermined intent: Other specified places"
Y179,"Poisoning by and exposure to other gases and vapours, undetermined intent: Unspecified place"
Y180,"Poisoning by and exposure to pesticides, undetermined intent: Home"
Y181,"Poisoning by and exposure to pesticides, undetermined intent: Residential institution"
Y182,"Poisoning by and exposure to pesticides, undetermined intent: School, other institution and public administrative area"
Y183,"Poisoning by and exposure to pesticides, undetermined intent: Sports and athletics area"
Y184,"Poisoning by and exposure to pesticides, undetermined intent: Street and highway"
Y185,"Poisoning by and exposure to pesticides, undetermined intent: Trade and service area"
Y186,"Poisoning by and exposure to pesticides, undetermined intent: Industrial and construction area"
Y187,"Poisoning by and exposure to pesticides, undetermined intent: Farm"
Y188,"Poisoning by and exposure to pesticides, undetermined intent: Other specified places"
Y189,"Poisoning by and exposure to pesticides, undetermined intent: Unspecified place"
Y190,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent: Home"
Y191,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent: Residential institution"
Y192,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent: School, other institution and public administrative area"
Y193,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent: Sports and athletics area"
Y194,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent: Street and highway"
Y195,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent: Trade and service area"
Y196,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent: Industrial and construction area"
Y197,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent: Farm"
Y198,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent: Other specified places"
Y199,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent: Unspecified place"
Y200,"Hanging, strangulation and suffocation, undetermined intent: Home"
Y201,"Hanging, strangulation and suffocation, undetermined intent: Residential institution"
Y202,"Hanging, strangulation and suffocation, undetermined intent: School, other institution and public administrative area"
Y203,"Hanging, strangulation and suffocation, undetermined intent: Sports and athletics area"
Y204,"Hanging, strangulation and suffocation, undetermined intent: Street and highway"
Y205,"Hanging, strangulation and suffocation, undetermined intent: Trade and service area"
Y206,"Hanging, strangulation and suffocation, undetermined intent: Industrial and construction area"
Y207,"Hanging, strangulation and suffocation, undetermined intent: Farm"
Y208,"Hanging, strangulation and suffocation, undetermined intent: Other specified places"
Y209,"Hanging, strangulation and suffocation, undetermined intent: Unspecified place"
Y210,"Drowning and submersion, undetermined intent: Home"
Y211,"Drowning and submersion, undetermined intent: Residential institution"
Y212,"Drowning and submersion, undetermined intent: School, other institution and public administrative area"
Y213,"Drowning and submersion, undetermined intent: Sports and athletics area"
Y214,"Drowning and submersion, undetermined intent: Street and highway"
Y215,"Drowning and submersion, undetermined intent: Trade and service area"
Y216,"Drowning and submersion, undetermined intent: Industrial and construction area"
Y217,"Drowning and submersion, undetermined intent: Farm"
Y218,"Drowning and submersion, undetermined intent: Other specified places"
Y219,"Drowning and submersion, undetermined intent: Unspecified place"
Y220,"Handgun discharge, undetermined intent: Home"
Y221,"Handgun discharge, undetermined intent: Residential institution"
Y222,"Handgun discharge, undetermined intent: School, other institution and public administrative area"
Y223,"Handgun discharge, undetermined intent: Sports and athletics area"
Y224,"Handgun discharge, undetermined intent: Street and highway"
Y225,"Handgun discharge, undetermined intent: Trade and service area"
Y226,"Handgun discharge, undetermined intent: Industrial and construction area"
Y227,"Handgun discharge, undetermined intent: Farm"
Y228,"Handgun discharge, undetermined intent: Other specified places"
Y229,"Handgun discharge, undetermined intent: Unspecified place"
Y230,"Rifle, shotgun and larger firearm discharge, undetermined intent: Home"
Y231,"Rifle, shotgun and larger firearm discharge, undetermined intent: Residential institution"
Y232,"Rifle, shotgun and larger firearm discharge, undetermined intent: School, other institution and public administrative area"
Y233,"Rifle, shotgun and larger firearm discharge, undetermined intent: Sports and athletics area"
Y234,"Rifle, shotgun and larger firearm discharge, undetermined intent: Street and highway"
Y235,"Rifle, shotgun and larger firearm discharge, undetermined intent: Trade and service area"
Y236,"Rifle, shotgun and larger firearm discharge, undetermined intent: Industrial and construction area"
Y237,"Rifle, shotgun and larger firearm discharge, undetermined intent: Farm"
Y238,"Rifle, shotgun and larger firearm discharge, undetermined intent: Other specified places"
Y239,"Rifle, shotgun and larger firearm discharge, undetermined intent: Unspecified place"
Y240,"Other and unspecified firearm discharge, undetermined intent: Home"
Y241,"Other and unspecified firearm discharge, undetermined intent: Residential institution"
Y242,"Other and unspecified firearm discharge, undetermined intent: School, other institution and public administrative area"
Y243,"Other and unspecified firearm discharge, undetermined intent: Sports and athletics area"
Y244,"Other and unspecified firearm discharge, undetermined intent: Street and highway"
Y245,"Other and unspecified firearm discharge, undetermined intent: Trade and service area"
Y246,"Other and unspecified firearm discharge, undetermined intent: Industrial and construction area"
Y247,"Other and unspecified firearm discharge, undetermined intent: Farm"
Y248,"Other and unspecified firearm discharge, undetermined intent: Other specified places"
Y249,"Other and unspecified firearm discharge, undetermined intent: Unspecified place"
Y250,"Contact with explosive material, undetermined intent: Home"
Y251,"Contact with explosive material, undetermined intent: Residential institution"
Y252,"Contact with explosive material, undetermined intent: School, other institution and public administrative area"
Y253,"Contact with explosive material, undetermined intent: Sports and athletics area"
Y254,"Contact with explosive material, undetermined intent: Street and highway"
Y255,"Contact with explosive material, undetermined intent: Trade and service area"
Y256,"Contact with explosive material, undetermined intent: Industrial and construction area"
Y257,"Contact with explosive material, undetermined intent: Farm"
Y258,"Contact with explosive material, undetermined intent: Other specified places"
Y259,"Contact with explosive material, undetermined intent: Unspecified place"
Y260,"Exposure to smoke, fire and flames, undetermined intent: Home"
Y261,"Exposure to smoke, fire and flames, undetermined intent: Residential institution"
Y262,"Exposure to smoke, fire and flames, undetermined intent: School, other institution and public administrative area"
Y263,"Exposure to smoke, fire and flames, undetermined intent: Sports and athletics area"
Y264,"Exposure to smoke, fire and flames, undetermined intent: Street and highway"
Y265,"Exposure to smoke, fire and flames, undetermined intent: Trade and service area"
Y266,"Exposure to smoke, fire and flames, undetermined intent: Industrial and construction area"
Y267,"Exposure to smoke, fire and flames, undetermined intent: Farm"
Y268,"Exposure to smoke, fire and flames, undetermined intent: Other specified places"
Y269,"Exposure to smoke, fire and flames, undetermined intent: Unspecified place"
Y270,"Contact with steam, hot vapours and hot objects, undetermined intent: Home"
Y271,"Contact with steam, hot vapours and hot objects, undetermined intent: Residential institution"
Y272,"Contact with steam, hot vapours and hot objects, undetermined intent: School, other institution and public administrative area"
Y273,"Contact with steam, hot vapours and hot objects, undetermined intent: Sports and athletics area"
Y274,"Contact with steam, hot vapours and hot objects, undetermined intent: Street and highway"
Y275,"Contact with steam, hot vapours and hot objects, undetermined intent: Trade and service area"
Y276,"Contact with steam, hot vapours and hot objects, undetermined intent: Industrial and construction area"
Y277,"Contact with steam, hot vapours and hot objects, undetermined intent: Farm"
Y278,"Contact with steam, hot vapours and hot objects, undetermined intent: Other specified places"
Y279,"Contact with steam, hot vapours and hot objects, undetermined intent: Unspecified place"
Y280,"Contact with sharp object, undetermined intent: Home"
Y281,"Contact with sharp object, undetermined intent: Residential institution"
Y282,"Contact with sharp object, undetermined intent: School, other institution and public administrative area"
Y283,"Contact with sharp object, undetermined intent: Sports and athletics area"
Y284,"Contact with sharp object, undetermined intent: Street and highway"
